team,wyId,wyscout_name,wyscout_fine,wyscout_coarse,sportradar_id,sportradar_name,sportradar_position,sportradar_coarse,match
Dinamo Bucureşti,545792,A. Marginean,DM,MID,sr:player:1383013,"Marginean, Andrei",midfielder,MID,True
Dinamo Bucureşti,696194,A. Mazilu,WF,FWD,sr:player:2395769,"Mazilu, Adrian",forward,FWD,True
Dinamo Bucureşti,563154,M. Karamoko,ST,FWD,sr:player:1694269,"Karamoko, Mamoudou",forward,FWD,True
Dinamo Bucureşti,28528,J. Ikoko,FB,DEF,sr:player:139223,"Ikoko, Jordan",defender,DEF,True
Rapid Bucureşti,847059,D. Hazrollaj,AM,MID,sr:player:2680241,"Hazrollaj, Drilon",forward,FWD,False
Rapid Bucureşti,826080,R. Pop,AM,MID,,,,,False
Rapid Bucureşti,762964,R. Bădescu,FB,DEF,,,,,False
Rapid Bucureşti,696173,A. Borza,FB,DEF,sr:player:2299923,"Borza, Sebastian Andrei",defender,DEF,True
Rapid Bucureşti,633039,T. Jambor,ST,FWD,sr:player:1986865,"Jambor, Timotej",forward,FWD,True
Rapid Bucureşti,618151,K. Keita,DM,MID,sr:player:1864048,"Keita, Kader",midfielder,MID,True
Rapid Bucureşti,591005,C. Petrila,AM,MID,sr:player:1535405,"Petrila, Claudiu",midfielder,MID,True
Rapid Bucureşti,573194,F. Stolz,GK,GK,,,,,False
Rapid Bucureşti,528176,C. Grameni,DM,MID,sr:player:1642320,"Grameni, Constantin",midfielder,MID,True
Rapid Bucureşti,19445,C. Braun,FB,DEF,,,,,False
Rapid Bucureşti,283833,J. Hromada,DM,MID,sr:player:237406,"Hromada, Jakub",midfielder,MID,True
Rapid Bucureşti,286009,C. Manea,FB,DEF,sr:player:361150,"Manea, Cristian",defender,DEF,True
Rapid Bucureşti,293344,E. Koljič,ST,FWD,sr:player:360902,"Koljic, Elvir",forward,FWD,True
Rapid Bucureşti,368012,A. Dobre,AM,MID,sr:player:820402,"Dobre, Alexandru",midfielder,MID,True
Rapid Bucureşti,399270,C. Micovschi,AM,MID,,,,,False
Rapid Bucureşti,404829,M. Aioani,GK,GK,sr:player:946158,"Aioani, Mihai",goalkeeper,GK,True
Rapid Bucureşti,424244,D. Ciobotariu,CB,DEF,sr:player:977985,"Ciobotariu, Denis",defender,DEF,True
Rapid Bucureşti,447420,A. Pașcanu,CB,DEF,sr:player:1055153,"Pascanu, Alexandru",defender,DEF,True
Rapid Bucureşti,495815,L. Gojković,AM,MID,,,,,False
Rapid Bucureşti,499832,T. Christensen,AM,MID,sr:player:851774,"Christensen, Tobias",midfielder,MID,True
Rapid Bucureşti,522105,R. Onea,FB,DEF,sr:player:1262364,"Onea, Razvan Philippe",defender,DEF,True
Rapid Bucureşti,545144,L. Kramer,CB,DEF,sr:player:1340618,"Kramer, Lars",defender,DEF,True
Rapid Bucureşti,827001,G. Gheorghe,CM,MID,sr:player:2835117,"Gheorghe, Gabriel",midfielder,MID,True
Rapid Bucureşti,595649,C. Vulturar,DM,MID,sr:player:1652085,"Vulturar, Catalin Alin",midfielder,MID,True
Rapid Bucureşti,649828,Talisson,ST,FWD,sr:player:2284573,Talisson,forward,FWD,True
Rapid Bucureşti,577446,D. Paraschiv,ST,FWD,sr:player:1560506,"Paraschiv, Daniel",midfielder,MID,False
Rapid Bucureşti,409007,O. Moruţan,AM,MID,sr:player:967409,"Morutan, Olimpiu",midfielder,MID,True
Rapid Bucureşti,497525,A. Baroan,ST,FWD,sr:player:1573052,"Baroan, Antoine",forward,FWD,True
Rapid Bucureşti,436604,Léo Bolgado,CB,DEF,,,,,False
Botoşani,943700,R. Creţ,FB,DEF,sr:player:2646155,"Cret, Razvan Bogdan",defender,DEF,True
Botoşani,842097,A. Friday,FB,DEF,,,,,False
Botoşani,809979,G. David,DM,MID,sr:player:2291795,"David, Gabriel",midfielder,MID,True
Botoşani,657843,Z. Mitrov,AM,MID,sr:player:2327549,"Mitrov, Zoran",forward,FWD,False
Botoşani,634633,R. Šuta,CB,DEF,sr:player:1952168,"Suta, Riad",defender,DEF,True
Botoşani,614148,G. Cîmpanu,AM,MID,sr:player:1832792,"Cimpanu, George",midfielder,MID,True
Botoşani,612385,C. Petro,DM,MID,sr:player:1749789,"Petro, Charles",defender,DEF,False
Botoşani,558098,E. López,ST,FWD,sr:player:2564847,"Lopez, Enzo",forward,FWD,True
Botoşani,528185,Ş. Bodişteanu,AM,MID,sr:player:1951676,"Bodisteanu, Stefan",forward,FWD,False
Botoşani,83986,A. Țigănașu,FB,DEF,sr:player:100797,"Tiganasu, Alexandru",midfielder,MID,False
Botoşani,85307,M. Bordeianu,DM,MID,sr:player:82889,"Bordeianu, Mihai",midfielder,MID,True
Botoşani,134514,H. Ongenda,AM,MID,sr:player:191174,"Ongenda, Hervin",forward,FWD,False
Botoşani,92988,G. Anestis,GK,GK,sr:player:212832,"Anestis, Ioannis",goalkeeper,GK,True
Botoşani,227873,E. Papa,DM,MID,sr:player:286645,"Papa, Enriko",midfielder,MID,True
Botoşani,240057,L. Kukić,GK,GK,sr:player:933558,"Kukic, Luka",goalkeeper,GK,True
Botoşani,301999,A. Miron,CB,DEF,sr:player:557342,"Miron, George Andrei",defender,DEF,True
Botoşani,404846,S. Mailat,AM,MID,sr:player:917822,"Mailat, Sebastian",forward,FWD,False
Botoşani,479610,A. Dumiter,ST,FWD,sr:player:1096230,"Dumiter, Ioan Andrei",forward,FWD,True
Botoşani,518465,Aldaír,DM,MID,,,,,False
Botoşani,825406,N. Ilaș,FB,DEF,sr:player:2613593,"Ilas, Narcis",defender,DEF,True
Botoşani,622286,Ș. Pănoiu,AM,MID,sr:player:1863350,"Panoiu, Stefan Calin",midfielder,MID,True
Botoşani,621237,M. Pavlović,FB,DEF,sr:player:1982765,"Pavlovic, Michael",midfielder,MID,False
Botoşani,355910,M. Kovtalyuk,ST,FWD,sr:player:774199,"Kovtalyuk, Mykola",forward,FWD,True
Botoşani,845197,A. Dumitru,AM,MID,sr:player:2788267,"Dumitru, Andrei",midfielder,MID,True
Botoşani,411139,E. Diaw,CB,DEF,sr:player:957880,"Diaw, Elhadji Pape",defender,DEF,True
Oţelul Galaţi,1208673,D. Neicu,AM,MID,sr:player:2213940,"Neicu, Dan Emilian",defender,DEF,False
Oţelul Galaţi,1049294,D. Sandu,AM,MID,sr:player:2800783,"Sandu, Daniel",forward,FWD,False
Oţelul Galaţi,1047237,M. Frunza,WF,FWD,sr:player:3021024,"Frunza, Matei",midfielder,MID,False
Oţelul Galaţi,884773,D. Bordun,AM,MID,sr:player:2639393,"Bordun, Denis",forward,FWD,False
Oţelul Galaţi,837919,A. Rus,FB,DEF,sr:player:2639389,"Rus, Andrei",defender,DEF,True
Oţelul Galaţi,798255,Ș. Bană,AM,MID,,,,,False
Oţelul Galaţi,756156,C. Chira,DM,MID,,,,,False
Oţelul Galaţi,704331,Paulinho,ST,FWD,,,,,False
Oţelul Galaţi,595340,Né Lopes,CB,DEF,sr:player:1852670,"Lopes, Manuel",defender,DEF,True
Oţelul Galaţi,583627,João Paulo,DM,MID,,,,,False
Oţelul Galaţi,135847,D. Živulić,CB,DEF,sr:player:127758,"Zivulic, Diego",midfielder,MID,False
Oţelul Galaţi,68734,M. Zhelev,FB,DEF,sr:player:173559,"Zhelev, Milen",defender,DEF,True
Oţelul Galaţi,283961,I. Popescu,GK,GK,sr:player:96322,"Popescu, Iustin",goalkeeper,GK,True
Oţelul Galaţi,346541,C. Dur-Bozoancă,GK,GK,,,,,False
Oţelul Galaţi,346549,Andrei Ciobanu,DM,MID,sr:player:756338,"Ciobanu, Andrei",forward,FWD,False
Oţelul Galaţi,399649,João Lameira,DM,MID,,,,,False
Oţelul Galaţi,493487,Kazu,FB,DEF,sr:player:1672025,Kazu,defender,DEF,True
Oţelul Galaţi,509226,Andrezinho,AM,MID,sr:player:1418163,Andrezinho,midfielder,MID,True
Oţelul Galaţi,510846,Patrick,ST,FWD,,,,,False
Oţelul Galaţi,292613,P. Iacob,CB,DEF,sr:player:805252,"Iacob, Paul",midfielder,MID,False
Oţelul Galaţi,333626,Pedro Nuno,AM,MID,sr:player:584434,"Nuno, Pedro",midfielder,MID,True
Oţelul Galaţi,345748,Bruno Paz,DM,MID,sr:player:605972,"Paz, Bruno",midfielder,MID,True
Oţelul Galaţi,444454,G. Debeljuh,ST,FWD,sr:player:1028207,"Debeljuh, Gabriel",forward,FWD,True
Oţelul Galaţi,507596,Conrado,FB,DEF,,,,,False
Oţelul Galaţi,648838,V. Murria,CB,DEF,,,,,False
